,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
29,13.924,6.452,1.73,87.0,93.0,92.0,0.23,45.0,27.382530291,75.672,2.1643,25.061716243087577,5.0777777777777775
30,19.470302335433498,7.61479427962278,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,3.9,6.405792268262776,72.76090832407365,1.933047540983607,198.68,5.0777777777777775
31,14.896,4.445,1.848,99.0,99.0,99.0,0.6182203389830511,68.0,6.405792268262776,75.722,1.933047540983607,81.39696394686906,5.0777777777777775
32,8.9,15.4,1.56,92.0,85.0,93.0,0.04,22.0,1.3046665939,74.96341463414636,1.933047540983607,64.71109985261606,5.0777777777777775
33,37.93,8.124,5.189,91.0,91.0,88.0,0.15,48.0,6.405792268262776,61.174,1.933047540983607,72.19128289473684,1.0
34,39.008,7.929,5.41,90.0,90.0,88.0,0.19,111.0,6.405792268262776,61.247,1.933047540983607,435.1782710280374,5.0777777777777775
35,19.49,5.625,2.274,98.0,99.0,99.0,0.19,46.0,6.8044225068,72.782,1.933047540983607,134.92977667493795,5.0777777777777775
36,22.464,5.997,2.503,92.0,92.0,84.0,0.05,302.0,6.405792268262776,69.57,1.933047540983607,92.05641287106278,5.0777777777777775
37,35.386,9.266,4.572,67.0,67.0,59.0,0.74,186.0,6.405792268262776,58.921,1.933047540983607,53.34398891497958,11.0
38,10.1,7.7,1.4988,91.0,71.0,90.0,0.6182203389830511,5.6,1.755921136,81.94878048780488,1.933047540983607,4.075188238644924,5.0777777777777775
39,9.9,3.3,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,5.4,6.405792268262776,72.76090832407365,1.933047540983607,267.39166666666665,5.0777777777777775
40,35.348,12.289,4.721,47.0,47.0,49.0,1.2,540.0,6.405792268262776,52.805,1.933047540983607,7.490412212270057,5.0777777777777775
41,42.172,12.104,5.747,46.0,46.0,42.0,0.38,142.0,6.405792268262776,53.977,1.933047540983607,12.291733640406607,5.0777777777777775
42,9.861,7.814,1.51,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,102.9480861244019,6.405792268262776,82.928,1.933047540983607,861.1060937864572,5.0777777777777775
43,12.428,6.163,1.649,95.0,95.0,93.0,0.27,18.0,4.4048944838,80.042,2.5912,25.189446066651886,5.0777777777777775
44,10.9,7.1,1.69,99.0,99.0,99.0,0.6182203389830511,61.0,0.52709078934,76.704,1.933047540983607,148.3488332706661,5.0777777777777775
45,14.882,5.562,1.807,92.0,92.0,95.0,0.25,33.0,25.343802597,77.109,2.1848,44.7487021180712,5.0777777777777775
46,31.881,7.214,4.205,91.0,91.0,90.0,0.01,35.0,6.405792268262776,64.118,1.933047540983607,447.2444775402266,5.0777777777777775
47,41.183,9.482,5.919,57.0,57.0,57.0,0.25,321.0,6.405792268262776,60.368,1.933047540983607,37.08259235570455,5.0777777777777775
48,32.862,6.705,4.428,75.0,75.0,75.0,1.55,375.0,6.405792268262776,64.29,1.933047540983607,15.35684626647145,5.0777777777777775
49,13.971,5.078,1.754,94.0,98.0,94.0,0.19,10.0,11.261254504,80.095,2.8939,97.91306306306306,5.0777777777777775
50,35.74,10.053,4.649,86.0,86.0,76.0,0.61,142.0,6.405792268262776,57.422,1.933047540983607,78.8340534591195,5.0777777777777775
51,9.0,12.9,1.47,93.0,93.0,93.0,0.02,8.4,0.57742179724,78.0707317073171,1.933047540983607,73.04937455325232,5.0777777777777775
52,10.166,8.988,1.618,99.0,99.0,99.0,0.16,7.2,6.405792268262776,78.726,8.4218,108.99959623149394,5.0777777777777775
53,10.8,8.8,1.7,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,6.4,6.405792268262776,72.76090832407365,1.933047540983607,355.6913367941228,5.0777777777777775
54,10.462,7.022,1.329,99.0,97.0,90.0,0.6182203389830511,5.4,1.2612864112,80.828,1.933047540983607,128.70833333333334,5.0777777777777775
55,10.7,10.6,1.71,97.0,96.0,96.0,0.6182203389830511,5.4,6.405792268262776,79.02926829268293,4.1208,137.65770525770526,5.0777777777777775
56,10.6,9.5,1.73,97.0,86.86502286138119,95.0,0.6182203389830511,5.4,1.0083219593,80.95365853658537,1.933047540983607,137.97656584901168,5.0777777777777775
57,21.466,7.102,2.728,84.0,84.0,86.0,0.15,260.0,6.405792268262776,66.582,1.933047540983607,41.36842105263158,5.0777777777777775
58,19.470302335433498,7.61479427962278,2.625965833807269,94.0,94.0,84.0,0.6182203389830511,6.4,6.405792268262776,72.76090832407365,1.933047540983607,95.5,5.0777777777777775
59,19.506,6.15,2.346,94.0,92.0,95.0,0.27,45.0,10.04973395,73.892,1.933047540983607,219.9785758642103,5.0777777777777775
60,19.719,5.109,2.427,85.0,85.0,83.0,0.15,44.0,5.8006273457,76.8,1.933047540983607,68.78868175229506,5.0777777777777775
61,26.379,5.817,3.326,95.0,95.0,94.0,0.04,12.0,6.405792268262776,71.825,0.4521,98.87346928524788,5.0777777777777775
62,18.253,7.04,2.039,81.0,81.0,81.0,0.15,70.0,52.018926167,73.096,1.933047540983607,309.8814671814672,5.0777777777777775
63,33.241,9.323,4.513,53.0,53.0,53.0,4.0,201.0,6.405792268262776,58.402,1.933047540983607,46.66573975044563,5.0777777777777775
64,30.302,7.163,4.056,95.0,95.0,99.0,0.11,89.0,6.405792268262776,65.941,1.933047540983607,355.6913367941228,5.0777777777777775
65,10.9,11.9,1.67,92.0,93.0,87.0,0.6182203389830511,13.0,2.1165412994,78.2439024390244,4.4833,30.411249137336092,5.0777777777777775
66,26.342,9.376,2.99,90.0,90.0,85.0,5.82,329.0,6.405792268262776,59.401,1.933047540983607,66.05761627906976,5.0777777777777775
67,32.339,6.551,4.247,68.0,68.0,55.0,0.16,151.0,6.405792268262776,66.24,0.0769,109.224559,5.0777777777777775
